ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
52,Sally,Guangzhou,boy,177,81,93,83,69,88,9,8,6,8,NULL,80
53,Joliet,Guangzhou,girl,155,80,79,88,60,87,6,8,8,7,NULL,60
54,John,Shenzhen,boy,166,81,68,84,60,87,5,6,9,4,NULL,60
56,Hugo,Guangzhou,boy,165,80,73,89,76,91,6,10,9,6,NULL,60
57,Amy,Beijing,girl,164,84,79,89,56,90,8,10,9,9,NULL,60
58,Martha,Guangzhou,boy,162,76,82,78,75,91,10,6,10,8,NULL,80
59,Nicholas,Guangzhou,boy,163,80,74,86,74,89,8,8,10,8,NULL,100
60,Todd,Guangzhou,boy,172,76,80,84,66,87,7,9,9,10,NULL,80
61,Marcy,Guangzhou,boy,166,77,86,88,78,87,9,6,9,9,NULL,60
62,Winnie,Beijing,boy,171,81,84,86,70,90,6,7,10,8,NULL,60
63,Adeline,Shenzhen,boy,163,80,84,87,70,92,10,10,6,6,NULL,60
64,Timothy,Beijing,boy,169,83,87,86,77,94,9,6,10,7,NULL,80
65,Olivia,Shenzhen,girl,169,81,70,88,71,89,7,9,10,8,NULL,100
66,Geoffrey,Shanghai,girl,165,80,86,81,67,88,10,6,7,5,NULL,40
67,Maxine,Beijing,boy,166,86,79,84.78095238,77,90,6,6,10,6,NULL,80
68,Lorraine,Shenzhen,boy,16200,85,80,73,69,89,10,5,10,7,NULL,80
69,Eva,Shenzhen,girl,155,72,92,84,66,92,9,7,10,6,NULL,60
70,Tina,Beijing,boy,173,74,91,80,78,85,9,7,9,10,NULL,60
71,Phoebe,Shanghai,boy,170,78,85,91,68,87,9,6,8,9,NULL,60
72,Karida,Guangzhou,girl,149,77,89,82,65,92,10,8,7,9,NULL,60
73,Juliana,Guangzhou,girl,151,83,71,80,66,87,10,10,6,6,NULL,80
74,Charlotte,Beijing,girl,160,75,78,81,69,92,9,5,10,5,NULL,80
75,Demi,Shenzhen,girl,164,79.58653846,67,82,74,92,9,7,5,7,NULL,60
76,David,Guangzhou,boy,165,79,84,86,72,93,10,8,9,8,NULL,80
77,Melissa,Shenzhen,girl,159,77,87,85,70,91,5,10,9,9,NULL,60
78,Sheila,Beijing,girl,161,79,68,82,83,92,10,6,6,10,NULL,80
79,Henry,Shenzhen,boy,176,81,88,76,88,92,9,9,9,9,NULL,60
80,Ivy,Beijing,girl,153,80,87,84,74,88,6,8,9,8,NULL,80
81,Deborah,Shenzhen,boy,165,76,95,84,65,93,10,6,6,6,NULL,80
82,Caspar,Guangzhou,girl,166,71,85,82,61,89.93269231,8,10,6,7,NULL,60
83,Susan,Shenzhen,boy,163,79,69,87,43,89,7,7,9,10,NULL,60
84,Ishara,Shenzhen,boy,175,80,74,86,84,89,6,9,9,5,NULL,60
85,lindsay,Beijing,girl,155,76,63,83,56,89,6,10,8,5,NULL,60
86,Noah,Guangzhou,girl,159,82,90,88,73,87,8,9,10,5,NULL,80
87,Dick,Guangzhou,boy,174,83,84,81,65,88,5,10,10,10,NULL,40
88,Marshal,Guangzhou,boy,181,71,73,86,73,88,10,10,8,7,NULL,80
89,Harrison,Shenzhen,boy,164,82,94,84,78,92,7,7,10,9,NULL,60
90,Vera,Beijing,boy,172,74,84,76,84,91,10,6,7,8,NULL,80
91,Monica,Shanghai,boy,172,85,82,81,76,88,10,10,6,6,NULL,60
92,Roy,Shanghai,girl,161,77,87,87,72,89,7,10,7,8,NULL,40
93,Owen,Beijing,girl,156,76,94,96,72,92,6,6,8,4,NULL,60
94,Glendon,Guangzhou,girl,168,81,56,84,61,84,6,10,10,8,NULL,80
95,Britney,Guangzhou,girl,166,78,84,91,72,91,5,10,9,10,NULL,40
96,Miranda,Shenzhen,boy,172,72,77,78,77,91,9,10,10,6,NULL,80
97,Andrew,Shanghai,boy,168,76,71,83,75,89.93269231,10,7,10,4,NULL,40
98,Elijah,Shenzhen,girl,160,67,77,87,62,91,6,10,8,9,NULL,100
99,Alexander,Beijing,boy,169,88,77,83,75,88,7,6,9,8,NULL,100
100,Octavia,Shenzhen,girl,164,77,61,84,91,93,7,9,6,8,NULL,60
101,Jonathan,Shanghai,boy,163,80,78,91,64,88,9,8,7,5,NULL,100
102,Violet,Shenzhen,girl,163,76,78,93,78,92,10,9,10,10,NULL,80
104,Mia,Guangzhou,girl,163,85,78,76,68,91,10,7,6,10,NULL,60
105,Frederica,Guangzhou,boy,167,80,97,86,52,89,6,6,9,5,NULL,80
106,Carry,Shenzhen,girl,167,76,72,83,59,92,8,5,5,9,NULL,80
107,Tamara,Shanghai,girl,156,81,74,79,68,87,10,6,8,8,NULL,40
108,Robert,Guangzhou,boy,166,82,79,82,65,89,7,9,9,7,NULL,60
109,Edmund,Shanghai,girl,159,82,78,97,66,91,7,10,8,8,NULL,60
